iter	RMSE
0	0.4778601349
1	0.4483411952
2	0.4199123796
3	0.3979216457
4	0.376725792
5	0.357842752
6	0.3417936801
7	0.3258505231
8	0.3136177847
9	0.3016549307
10	0.2934866692
11	0.2844630563
12	0.278118284
13	0.271494661
14	0.2656767304
15	0.2603516534
16	0.2560858605
17	0.2525812137
18	0.2497780163
19	0.2468804778
20	0.2445056407
21	0.2413706497
22	0.2391317013
23	0.2367859464
24	0.2353465141
25	0.2341214387
26	0.2330043098
27	0.2320223054
28	0.2311283857
29	0.2299113644
30	0.2283182257
31	0.2272511227
32	0.2262206294
33	0.2253455013
34	0.2242142263
35	0.2234338694
36	0.2227343675
37	0.2215536268
38	0.2201524642
39	0.219284187
40	0.2188179226
41	0.2181507523
42	0.2170372547
43	0.2162389678
44	0.2156899551
45	0.2152901566
46	0.2146755331
47	0.2139742492
48	0.2135852527
49	0.212806478
50	0.2122090994
51	0.2111043356
52	0.2106279725
53	0.2102135663
54	0.209601218
55	0.2092287503
56	0.20871192
57	0.2081332014
58	0.2073887905
59	0.2070317953
60	0.206552617
61	0.2056856508
62	0.2051655291
63	0.2047555301
64	0.2042124497
65	0.203839593
66	0.2033280993
67	0.2029394388
68	0.2025562734
69	0.2021515731
70	0.2016773756
71	0.2013351024
72	0.2007097953
73	0.2000435924
74	0.1997400266
75	0.199691706
76	0.1991910292
77	0.1989479795
78	0.198636352
79	0.1982587892
80	0.1978215585
81	0.1974653761
82	0.1968759516
83	0.1963197275
84	0.1959128366
85	0.1955890601
86	0.1951692569
87	0.1949749918
88	0.1947011915
89	0.1943835281
90	0.19409304
91	0.1938500724
92	0.1934227379
93	0.1931623696
94	0.1927167111
95	0.1924836957
96	0.1921883024
97	0.1920262583
98	0.1916516607
99	0.1913359089
100	0.1911948756
101	0.1908582912
102	0.190594191
103	0.1903069225
104	0.1901017991
105	0.1899203207
106	0.1898777663
107	0.1898055432
108	0.1896390833
109	0.1894045514
110	0.1893016567
111	0.1891076214
112	0.1890050554
113	0.1886009823
114	0.1884295577
115	0.1883189523
116	0.1882021794
117	0.187857492
118	0.1877870403
119	0.1876447402
120	0.1872668922
121	0.1872198317
122	0.1870294781
123	0.1867646523
124	0.1864162899
125	0.186339924
126	0.1862824854
127	0.1862250758
128	0.1860264025
129	0.1857554869
130	0.1856241985
131	0.1855400705
132	0.1853708236
133	0.1850644266
134	0.1847581126
