iter	Passed	Remaining
0	2	2026
1	3	1993
2	6	2251
3	8	2199
4	10	2150
5	12	2093
6	14	2064
7	16	2039
8	18	2012
9	20	1981
10	22	1999
11	24	2027
12	26	2017
13	28	2002
14	30	1995
15	32	1988
16	34	1975
17	36	1965
18	38	1962
19	39	1956
20	41	1946
21	43	1935
22	45	1927
23	47	1916
24	48	1905
25	51	1910
26	52	1903
27	54	1895
28	56	1891
29	58	1887
30	60	1880
31	61	1875
32	63	1875
33	65	1873
34	67	1868
35	69	1861
36	71	1860
37	73	1857
38	75	1849
39	77	1848
40	78	1844
41	81	1850
42	83	1851
43	85	1858
44	87	1854
45	89	1848
46	91	1847
47	92	1842
48	94	1843
49	96	1840
50	98	1836
51	100	1831
52	102	1827
53	104	1826
54	106	1822
55	107	1819
56	109	1817
57	111	1817
58	113	1813
59	115	1809
60	117	1805
61	119	1803
62	120	1797
63	122	1793
64	124	1796
65	126	1794
66	128	1791
67	130	1788
68	132	1785
69	134	1781
70	135	1777
71	137	1775
72	139	1772
73	141	1768
74	143	1764
75	144	1752
76	145	1749
77	147	1746
78	149	1742
79	151	1740
80	153	1741
81	155	1739
82	157	1736
83	159	1734
84	160	1731
85	162	1730
86	165	1740
87	167	1738
88	169	1737
89	171	1736
90	173	1733
91	175	1731
92	177	1729
93	179	1726
94	180	1723
95	182	1720
96	184	1720
97	186	1717
98	188	1713
99	190	1710
100	191	1708
101	193	1705
102	195	1702
103	197	1699
104	199	1699
105	201	1696
106	202	1692
107	204	1691
108	206	1689
109	208	1686
110	210	1684
111	212	1682
112	214	1680
113	215	1677
114	217	1675
115	219	1673
116	221	1670
117	223	1667
118	224	1664
119	226	1662
120	228	1659
121	230	1656
122	232	1655
123	233	1652
124	235	1650
125	237	1648
126	239	1646
127	241	1643
128	242	1640
129	245	1641
130	247	1639
131	248	1636
132	250	1634
133	252	1631
134	254	1629
135	256	1626
136	257	1624
137	260	1624
138	261	1622
139	263	1620
140	265	1618
141	267	1615
142	269	1612
143	271	1611
144	272	1609
145	274	1607
146	276	1605
147	278	1603
148	280	1601
149	282	1598
150	283	1596
151	285	1595
152	287	1592
153	289	1590
154	291	1590
155	293	1589
156	295	1587
157	297	1587
158	299	1586
159	301	1585
160	304	1584
161	306	1583
162	307	1581
163	309	1579
164	311	1578
165	313	1577
166	315	1574
167	317	1573
168	320	1575
169	322	1573
170	324	1573
171	326	1571
172	328	1569
173	330	1568
174	332	1566
175	334	1566
176	336	1566
177	339	1566
178	341	1564
179	342	1561
180	344	1560
181	346	1558
182	348	1558
183	350	1556
184	352	1554
185	354	1552
186	356	1550
187	358	1548
188	360	1545
189	362	1543
190	364	1541
191	365	1539
192	367	1536
193	369	1534
194	371	1531
195	372	1529
196	374	1526
197	376	1524
198	378	1522
199	379	1519
200	381	1517
201	383	1515
202	385	1513
203	387	1510
204	388	1507
205	390	1505
206	392	1503
207	394	1501
208	396	1498
209	397	1497
210	399	1494
211	401	1492
212	403	1490
213	405	1488
214	406	1485
215	408	1484
216	410	1482
217	412	1480
218	413	1475
219	415	1473
220	417	1471
221	419	1469
222	420	1466
223	422	1464
224	424	1462
225	426	1460
226	428	1457
227	429	1455
228	431	1453
229	432	1449
230	434	1446
231	436	1444
232	438	1443
233	440	1441
234	442	1438
235	443	1436
236	445	1434
237	447	1432
238	449	1430
239	450	1427
240	452	1426
241	454	1424
242	456	1423
243	458	1421
244	460	1419
245	464	1423
246	468	1427
247	469	1424
248	472	1423
249	474	1422
250	476	1422
251	479	1421
252	481	1421
253	482	1418
254	485	1417
255	487	1416
256	490	1416
257	492	1416
258	494	1414
259	496	1413
260	498	1412
261	500	1410
262	502	1408
263	505	1408
264	507	1407
265	509	1405
266	511	1405
267	513	1403
268	515	1401
269	517	1400
270	519	1398
271	521	1395
272	523	1393
273	525	1391
274	527	1390
275	529	1387
276	531	1386
277	532	1382
278	533	1379
279	535	1377
280	537	1375
281	539	1373
282	540	1370
283	542	1368
284	544	1365
285	545	1362
286	547	1360
287	549	1358
288	551	1356
289	553	1354
290	554	1352
291	556	1349
292	558	1347
293	560	1345
294	562	1343
295	564	1341
296	565	1339
297	567	1337
298	568	1333
299	570	1332
300	572	1330
301	574	1327
302	576	1325
303	578	1324
304	580	1322
305	581	1318
306	583	1316
307	585	1315
308	587	1313
309	588	1310
310	590	1309
311	592	1307
312	594	1305
313	596	1303
314	598	1301
315	600	1299
316	602	1297
317	604	1295
318	606	1293
319	607	1291
320	609	1289
321	611	1287
322	613	1286
323	615	1284
324	617	1282
325	619	1281
326	621	1279
327	623	1277
328	625	1275
329	626	1272
330	628	1270
331	632	1272
332	634	1271
333	636	1269
334	638	1267
335	640	1266
336	642	1264
337	644	1262
338	646	1261
339	648	1259
340	650	1257
341	652	1255
342	654	1254
343	656	1252
344	658	1250
345	660	1248
346	662	1246
347	664	1245
348	665	1241
349	667	1240
350	669	1238
351	671	1236
352	673	1233
353	675	1232
354	677	1230
355	679	1228
356	681	1226
357	682	1224
