Airline,Date_of_Journey,Source,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,9/05/2019,Unknown_4,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,14323
Jet Airways,1/04/2019,Delhi,DEL → BOM → COK,10:00,12:35 02 Apr,26h 35m,1 stop,In-flight meal not included,5406
Jet Airways,06/03/2019,Banglore,BLR → BOM → DEL,14:05,21:20,7h 15m,1 stop,No info,19225
,24/04/2019,Banglore,BLR → DEL,19:50,22:50,3h,non-stop,No info,7229
,15/03/2019,Banglore,BLR → COK → DEL,06:55,10:50 16 Mar,27h 55m,1 stop,No info,7932
Jet Airways,15/03/2019,Banglore,BLR → BOM → DEL,08:00,08:15 16 Mar,24h 15m,1 stop,In-flight meal not included,10405
,6/03/2019,Delhi,DEL → BOM → COK,06:40,19:15,12h 35m,1 stop,No info,15077
,31-31-2025,Kolkata,CCU → BOM → BLR,20:00,04:40 07 Jun,8h 40m,1 stop,No info,13731
Jet Airways,18/05/2019,Delhi,DEL → BOM → COK,20:55,04:25 19 May,7h 30m,1 stop,In-flight meal not included,12373
Jet Airways,21/04/2019,Banglore,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229
Jet Airways,12/06/2019,Kolkata,CCU → DEL → BLR,20:25,09:45 13 Jun,13h 20m,1 stop,In-flight meal not included,10539
Air India,21/03/2019,Banglore,BLR → COK → DEL,22:00,10:50 19 Mar,12h 50m,1 stop,No info,6955
,18/05/2019,Kolkata,CCU → DEL → BLR,17:00,18:50 19 May,25h 50m,1 stop,No info,9555
Jet Airways,1/05/2019,Kolkata,CCU → BOM → BLR,18:55,08:15 02 May,13h 20m,1 stop,In-flight meal not included,8586
IndiGo,21/05/2019,Delhi,DEL → BOM → COK,10:35,01:30 22 May,14h 55m,1 stop,No info,6794
Air India,3/03/2019,Delhi,DEL → HYD → BOM → COK,07:05,19:15 04 Mar,36h 10m,2 stops,No info,11762
Air India,24/05/2019,Kolkata,CCU → BOM → COK → BLR,09:25,01:20 25 May,15h 55m,2 stops,No info,12718
Air India,15/05/2019,Delhi,DEL → JAI → BOM → COK,12:00,19:15,7h 15m,2 stops,No info,9601
SpiceJet,21/06/2019,Chennai,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,3597
SpiceJet,15/06/2019,Kolkata,CCU → BLR,22:20,00:40 16 Jun,2h 20m,non-stop,No info,3873
IndiGo,24/04/2019,Kolkata,CCU → MAA → BLR,19:35,00:10 25 Apr,4h 35m,1 stop,No info,4860
Air India,6/05/2019,Chennai,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667
Jet Airways,12/03/2019,Banglore,BLR → BOM → DEL,08:00,21:20,13h 20m,1 stop,No info,13817
 Air Asia ,27/04/2019,Delhi,DEL → BLR → COK,16:45,22:25,5h 40m,1 stop,No info,6451
Multiple carriers,27/05/2019,Delhi,DEL → HYD → COK,09:45,22:30,12h 45m,1 stop,No info,10486
IndiGo,15/05/2019,Chennai,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540
Jet Airways,6/06/2019,Kolkata,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,9689
,3/05/2019,Unknown_4,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049
SpiceJet,24/06/2019,Kolkata,CCU → BLR,22:20,00:40 25 Jun,2h 20m,non-stop,No check-in baggage included,3841
Jet Airways,9/03/2019,Delhi,DEL → BOM → COK,19:45,18:50 10 Mar,23h 5m,1 stop,In-flight meal not included,14053
IndiGo,3/03/2019,Mumbai,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,6795
,24/04/2019,Banglore,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,6121
Jet Airways,9/06/2019,Kolkata,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,In-flight meal not included,13994
GoAir,18/05/2019,Banglore,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,4632
SpiceJet,3/03/2019,Kolkata,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,6251
 IndiGo ,27/03/2019,Delhi,DEL → BOM → COK,07:30,15:30,8h,1 stop,No info,8574
Jet Airways,31-31-2025,Mumbai,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678
Jet Airways,24/06/2019,Delhi,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,In-flight meal not included,13344
IndiGo,9/04/2019,Kolkata,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4174
,18/05/2019,Kolkata,CCU → BOM → BLR,14:05,10:05 19 May,20h,1 stop,No info,14388
Jet Airways,1/06/2019,Delhi,DEL → BOM → COK,20:55,04:25 02 Jun,7h 30m,1 stop,In-flight meal not included,10262
Air India,6/06/2019,Kolkata,CCU → VNS → DEL → BLR,14:30,12:30 07 Jun,22h,2 stops,No info,15894
Air India,1/06/2019,Delhi,DEL → COK,14:10,17:10,3h,non-stop,No info,6934
Jet Airways,6/06/2019,Banglore,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,8016
Jet Airways,1/05/2019,Kolkata,CCU → BOM → BLR,14:05,10:05 02 May,20h,1 stop,No info,13941
,1/05/2019,Mumbai,BOM → HYD,05:45,07:15,1h 30m,non-stop,No info,2017
Jet Airways,9/06/2019,Delhi,DEL → JAI → BOM → COK,19:30,04:25 10 Jun,8h 55m,2 stops,In-flight meal not included,10368
IndiGo,12/06/2019,Delhi,DEL → BOM → COK,10:35,01:30 13 Jun,14h 55m,1 stop,No info,5883
,3/03/2019,Unknown_4,DEL → IDR → BOM → COK,05:25,04:25 05 Mar,47h,2 stops,No info,20064
Jet Airways,6/06/2019,Mumbai,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4995
Air India,12/03/2019,Banglore,BLR → CCU → GAU → DEL,11:05,22:10,11h 5m,2 stops,No info,11948
Air India,6/06/2019,Kolkata,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,14960
Jet Airways,24/06/2019,Banglore,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,8016
Jet Airways,31-31-2025,Delhi,DEL → BOM → COK,14:00,12:35 10 Jun,22h 35m,1 stop,In-flight meal not included,10262
Air Asia,1/06/2019,Banglore,BLR → DEL,23:55,02:45 02 Jun,2h 50m,non-stop,No info,7120
Jet Airways,21/03/2019,Banglore,BLR → BOM → DEL,18:40,07:40 19 Mar,13h,1 stop,In-flight meal not included,7832
IndiGo,3/06/2019,Delhi,DEL → HYD → COK,05:05,12:10,7h 5m,1 stop,No info,6818
Jet Airways,15/06/2019,Delhi,DEL → BOM → COK,17:30,04:25 16 Jun,10h 55m,1 stop,In-flight meal not included,10262
Vistara,27/04/2019,Banglore,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5613
Jet Airways,21/05/2019,Delhi,DEL → IDR → BOM → COK,09:35,12:35 22 May,27h,2 stops,In-flight meal not included,12719
Multiple carriers,18/05/2019,Delhi,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197
IndiGo,6/06/2019,Kolkata,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5224
Air India,15/05/2019,Kolkata,CCU → GAU → DEL → BLR,16:45,12:30 16 May,19h 45m,2 stops,No info,14960
,21/03/2019,Banglore,BLR → BOM → DEL,11:40,21:20,9h 40m,1 stop,In-flight meal not included,7832
Air Asia,18/04/2019,Kolkata,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,4409
Multiple carriers,12/06/2019,Delhi,DEL → IXU → BOM → COK,17:50,01:30 13 Jun,7h 40m,2 stops,No info,18275
SpiceJet,27/05/2019,Mumbai,BOM → HYD,22:45,00:15 28 May,1h 30m,non-stop,No info,2017
Air India,12/03/2019,Mumbai,BOM → MAA → HYD,05:55,19:10,13h 15m,1 stop,No info,8528
Multiple carriers,9/03/2019,Delhi,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,6916
Jet Airways,12/03/2019,Banglore,BLR → BOM → DEL,16:55,09:30 13 Mar,16h 35m,1 stop,No info,13817
Jet Airways,31-31-2025,Banglore,BLR → BOM → DEL,14:05,08:15 16 Mar,18h 10m,1 stop,In-flight meal not included,9134
Multiple carriers,24/06/2019,Delhi,DEL → IXU → BOM → COK,17:50,01:30 25 Jun,7h 40m,2 stops,No info,18275
SpiceJet,27/04/2019,Banglore,BLR → DEL,21:10,00:05 28 Apr,2h 55m,non-stop,No info,3971
Jet Airways,09/03/2019,Banglore,BLR → BOM → DEL,07:00,09:30 13 Mar,26h 30m,1 stop,In-flight meal not included,11087
