Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,3/03/2019,Delhi,Cochin,DEL → COK,14:30,17:35,3h 5m,non-stop,No info,7673
Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,23:15,13h 15m,1 stop,No info,10203
IndiGo,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:45,01:35 22 Mar,14h 50m,1 stop,No info,7318
Jet Airways,3/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 04 Jun,22h,2 stops,In-flight meal not included,10919
IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 28 May,14h 55m,1 stop,No info,6104
Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,13h 10m,1 stop,No info,9345
Air India,15/06/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 16 Jun,20h 55m,1 stop,No info,NotANumber
SpiceJet,27/03/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No info,1759
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,No info,13067
Air India,6/06/2019,Delhi,,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,8372
Air Asia,18/05/2019,Delhi,,DEL → BLR → COK,16:45,07:10 19 May,14h 25m,1 stop,No info,7353
IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823
IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:35 10 Mar,9h 35m,1 stop,No info,13611
Jet Airways,18/03/2019,Banglore,,BLR → BOM → DEL,16:55,07:40 16 Mar,14h 45m,1 stop,No info,13555
Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 28 May,17h 5m,2 stops,No info,15129
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,09:20 13 Jun,19h 15m,1 stop,In-flight meal not included,8529
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,No info,15129
IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5224
Multiple carriers,3/03/2019,Delhi,,DEL → BOM → COK,11:30,18:50,7h 20m,1 stop,No info,15135
Vistara,12/06/2019,Banglore,,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668
Air India,15/06/2019,Delhi,,DEL → HYD → MAA → COK,13:15,09:25 16 Jun,20h 10m,2 stops,No info,8839
Vistara,03/03/2019,Banglore,New Delhi,BLR → DEL,16:00,18:35,2h 35m,non-stop,No info,13383
Air Asia,21/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,5192
SpiceJet,12/05/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:30,7h 15m,1 stop,No info,11468
Air India,9/03/2019,Delhi,,DEL → BOM → COK,04:00,07:40 10 Mar,27h 40m,1 stop,No info,10315
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,10262
Air India,18/05/2019,Delhi,,DEL → MAA → COK,06:05,09:25 19 May,27h 20m,1 stop,No info,7480
Jet Airways,21/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,5h 20m,1 stop,No info,7384
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 19 May,11h 5m,1 stop,In-flight meal not included,8586
GoAir,24/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898
IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,,No info,6558
Air Asia,1/04/2019,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,3h 40m,1 stop,No info,5162
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → HYD → COK,09:45,22:30,12h 45m,1 stop,No info,NotANumber
Air India,1/05/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 02 May,24h,1 stop,No info,7001
IndiGo,6/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5224
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,19:50 07 May,23h 50m,1 stop,No info,14388
Air Asia,9/03/2019,Delhi,Cochin,DEL → BLR → COK,16:45,22:15,5h 30m,1 stop,No info,8327
Air India,12/06/2019,Kolkata,,CCU → BOM → COK → BLR,16:50,13:45 13 Jun,20h 55m,2 stops,No info,11542
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,13587
IndiGo,3/06/2019,Kolkata,,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,5644
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,18:15 13 May,23h 20m,1 stop,In-flight meal not included,10844
Air Asia,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,7870
IndiGo,9/03/2019,Chennai,Kolkata,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,6482
IndiGo,6/04/2019,Delhi,Cochin,DEL → BOM → COK,16:00,21:00,5h,1 stop,No info,5073
Air India,9/06/2019,Delhi,,DEL → BOM → COK,20:00,07:40 10 Jun,11h 40m,1 stop,No info,8372
IndiGo,6/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,,No info,4804
